STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
65,ꪀ꪿ꪱꪉ,4,,,đg.,1,lên khung,,ꪀ꪿ꪱꪉ ꪖꪸꪉ ꪼꪭ꪿: lên khung lều nương,
66,ꪀ꪿ꪱꪉ,4,,,đg.,2,"mắc, bắc",,ꪀ꪿ꪱꪉ ꪢꪷ꫁: bắc nồi,
67,ꪀ꪿ꪱꪉ ꪀꪱꪀ,1,,,d.,1,khạng nạng,,: ,
69,ꪀ꫁ꪱꪉ,2,,,đg.,1,"hóc, mắc",,ꪢꪱ ꪀ꫁ꪱꪉ ꪒꪴꪀ: chó hóc xương,
70,ꪀꪱꪫ,1,,,đg.,1,"khoác, khoác lác",,ꪜꪱꪀ ꪀꪱꪫ: nói khoác,
71,ꪀꪱꪫ,2,,,d.,1,,(x. ꪁ꪿ꪱꪫ),: ,
73,ꪀ꪿ꪱꪫ ꪵꪘ,1,,,đg.,1,kính káo,,: ,
77,ꪀꪱꪚ,2,,,d.,1,"bẹ, mo",,ꪀꪱꪚ ꪀ꫁ꪺꪥ: Bẹ chuối ,
79,ꪀꪱꪚ,2,,,d.,2,vỏ khô,,ꪔꪱꪣ ꪀꪱꪚ ꪼꪣ꫁: Đun bằng vỏ cây khô,
80,ꪀꪱꪚ,3,,,d.,1,mảnh,(mảnh vỏ cứng),ꪀꪱꪚ ꪖ꫁ꪺꪥ: Mảnh bát,
102,ꪀꪱꪙ,1,,,d.,1,sự,(sự việc),: ,
103,ꪀꪱꪙ,1,,,d.,2,vụ,,: ,
104,ꪀꪱꪙ,1,,,d.,3,tình trạng,,: ,
112,ꪀꪱꪒ ꪫꪽ,1,,,d.,1,tốc độ ,,: ,
113,ꪮꪱ,1,,,đ.,1,cô,,ꪎꪮꪉ ꪮꪱ ꪨꪱꪙ: hai cô cháu,
114,ꪮꪱ,2,,,tr.,1,à,,ꪹꪥꪸꪒ ꪵꪙꪫ ꪙ꫁ꪽ ꪮꪱ: làm như thế à,
115,ꪮꪱ,2,,,tr.,2,ư,,ꪫ꪿ꪱ ꪵꪕ꫁ ꪮꪱ: nói thật ư,
116,ꪮ꪿ꪱ,1,,,c.,1,ơi,,ꪙ꫁ꪮꪉ ꪮ꪿ꪱ: em ơi,
117,ꪮ꪿ꪱ,2,,,tr.,1,hả,,ꪹꪥꪸꪒ ꪵꪙꪫ ꪙ꫁ꪽ ꪮ꪿ꪱ: làm như thế hả,
118,ꪮ꪿ꪱ ꪈ꫁ꪱ,1,,,,1,chễm chệ,,ꪙꪰ꪿ꪉ ꪮ꪿ꪱ ꪈ꫁ꪱ: ngồi chễm chệ,
119,ꪮ꫁ꪱ,1,,,đg.,1,há,,ꪮ꫁ꪱ ꪶꪎꪚ ꪮ꫁ꪱ ꪜꪱꪀ: há mồm há miệng,
120,ꪮ꫁ꪱ,1,,,đg.,2,ngoạc,,ꪮ꫁ꪱ ꪶꪎꪚ ꪁ꫁ꪱꪥ: ngoạc miệng ra mà cãi,
121,ꪮ꫁ꪱ,1,,,đg.,3,doãng,,ꪮ꫁ꪱ ꪄꪱ: doãng chân,
122,ꪮ꫁ꪱ,1,,,đg.,4,loe,,ꪩꪷ꫁ ꪜꪱꪀ ꪮ꫁ꪱ: lọ miệng loe,
123,ꪮ꫁ꪱ,1,,,đg.,5,nở,,ꪹꪮꪷ꪿ꪀ ꪮ꫁ꪱ: ngực nở,
124,ꪮ꫁ꪱ,1,,,đg.,6,xoè,,ꪮ꫁ꪱ ꪠ꪿ꪱ ꪣꪳ: xoè bàn tay,
126,ꪮ꫁ꪱ ꪶꪊꪜꪉ,1,,,đg.,1,ngoam ngoáp,,ꪶꪔ ꪢꪱ ꪶꪎꪚ ꪮ꫁ꪱ ꪶꪊꪜꪉ: con chó miệng ngoam ngoáp,
127,ꪮꪱ ꪼꪏ,2,,,d.,1,cô giáo,bậc trên gọi,ꪮꪱ ꪼꪏ ꪄꪾꪚ ꪣ꪿ꪺꪙ: cô giáo hát hay,
128,ꪮ꪿ꪱ ꪈ꪿ꪱ,1,,,d.,1,chễm chệ,,ꪙꪰ꪿ꪉ ꪮ꪿ꪱ ꪈ꪿ꪱ: ngồi chễm chệ,
129,ꪮ꫁ꪱ ꪄꪱ,1,,,đg.,1,chài bài,,ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪄꪱ: ngồi chài bài,
130,ꪮ꫁ꪱ ꪵꪘ꫁ꪉ,1,,,đg.,1,cố tình,,ꪮ꫁ꪱ ꪵꪘ꫁ꪉ ꪹꪥꪸꪒ ꪵꪜ꪿: cố tình làm hỏng,
131,ꪮ꫁ꪱ ꪉꪱꪚ,1,,,đg.,1,ngáp,,ꪹꪘ꪿ꪥ ꪨꪱꪥ ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪉꪱꪚ: mệt quá ngồi ngáp,
132,ꪮ꫁ꪱ ꪉꪱꪚ,1,,,đg.,2,ngoáp,,ꪜꪱ ꪮ꫁ꪱ ꪉꪱꪚ: cá ngoáp,
133,ꪮ꫁ꪱ ꪉꪱꪚ,2,,,đg.,1,chè hẻ,,ꪙꪰ꪿ꪉ ꪮ꫁ꪱ ꪉꪱꪚ: ngồi chè hẻ,
134,ꪮ꫁ꪱ ꪉꪱꪚ ꪜꪱ,1,,,đg.,1,bở hơi tai,,ꪵꪩ꪿ꪙ ꪡ꪿ꪮꪉ ꪮ꫁ꪱ ꪉꪱꪚ ꪜꪱ: chạy bở hơi tai,
135,ꪮ꫁ꪱ ꪜꪱꪀ,1,,,đg.,1,há miệng,,ꪮ꫁ꪱ ꪜꪱꪀ ꪮꪮꪀ: há miệng ra,
136,ꪮ꫁ꪱ ꪮꪴ꪿ꪥ,1,,,c.,1,úi chà,,ꪮ꫁ꪱ ꪮꪴ꪿ꪥ! ꪋ꪿ꪽ ꪹꪭꪸ꪿ꪉ!: úi chà! Đẹp quá!,
137,ꪮ꫁ꪱ ꪶꪎꪚ,1,,,đg.,1,mở miệng,,ꪮ꫁ꪱ ꪶꪎꪚ ꪨꪷ꫁ ꪼꪐ: mở miệng (ra) là gắt,
138,ꪮ꫁ꪱ ꪶꪎꪚ,1,,,đg.,2,há hốc,,ꪮ꫁ꪱ ꪶꪎꪚ ꪶꪊꪜ꪿ꪉ: há hốc mồm,
139,ꪯ꪿ꪱ,1,,,c.,1,à,,ꪹꪯꪸꪣ ꪯ꪿ꪱ!: mẹ à!,
140,ꪯ꪿ꪱ ꪥꪱꪒ,1,,,đg.,1,sà,,ꪶꪙ꫁ꪀ ꪯ꪿ꪱ ꪥꪱꪒ ꪶꪩꪉ: chim sà xuống,
141,ꪯ꪿ꪱ ꪥꪱꪒ,1,,,đg.,2,đáp,,ꪵꪎ ꪚꪲꪙ ꪯ꪿ꪱ ꪥꪱꪒ ꪶꪩꪉ: máy bay đáp xuống,
142,ꪮ꪿ꪱꪀ,1,,,t.,1,ác,,ꪹꪥꪸꪒ ꪮ꪿ꪱꪀ ꪼꪒ꫁ ꪮ꪿ꪱꪀ: làm ác được ác (ác giả ác báo),
