STT,TuNgu,SoTu,PhienAm,IPA,LoaiTu,SoNghia,NghiaTiengViet,GhiChu,MoTa1,MoTa2
1314,ꪁꪩ꫁ꪮꪀ,1,,,t.,1,trơ,nhỏ,ꪜꪱ ꪑꪰꪉ ꪕꪷ꪿ ꪬꪺ ꪁꪩ꫁ꪮꪀ: cá còn trơ lại mỗi cái đầu,
1315,ꪀꪨ꫁ꪮꪥ,1,,,đg.,1,tót,,ꪵꪩ꪿ꪙ ꪀꪨ꫁ꪮꪥ ꪼꪜ ꪮꪲ꫁ꪙ: chạy tót đi chơi,
1316,ꪀꪨ꫁ꪮꪥ,1,,,đg.,2,tọt,,ꪘꪴ ꪀꪨ꫁ꪮꪥ ꪹꪄ꫁ꪱ ꪄꪺꪥ: chuột tọt vào hang,
1317,ꪁꪩꪷ꫁,2,,,t.,2,"trơ trơ, nhơn nhơn",,ꪘ꫁ꪱ ꪁꪩꪷ꫁: mặt trơ trơ,
1318,ꪁꪩꪷ꪿,1,,,đg.,2,dẫn xác,,ꪭꪮꪒ ꪹꪝ꫁ ꪹꪄ꫁ꪱ ꪊꪰ꪿ꪉ ꪁꪩꪷ꪿ ꪣꪱ: đến bữa cơm mới dẫn xác đến,
1319,ꪁꪩ꪿ꪮꪙ ꪵꪁꪩ꪿ꪙ,1,,,t.,1,lợn cợn,hạt nhỏ,ꪶꪛꪒ ꪹꪭꪸ ꪢꪷ꪿ ꪶꪣꪙ ꪁꪩ꪿ꪮꪙ ꪵꪁꪩ꪿ꪙ: bộ chưa xay kĩ lợn cợn,
1320,ꪁꪩꪮꪒ,1,,,đg.,1,lọt thỏm,,ꪀ꪿ꪽ ꪶꪮꪒ ꪁꪩꪮꪒ ꪹꪄ꫁ꪱ ꪊꪱꪥ: cái nút lọt thỏm vào chai,
1321,ꪁꪩꪮꪒ,2,,,đg.,1,tòi,,ꪁꪩꪮꪒ ꪹꪉꪷꪙ ꪮꪮꪀ: tòi tiền ra,
1322,ꪁꪩꪮꪒ ꪶꪎꪚ,1,,,đg.,1,"sổng miệng, sổng mồm",,* ꪁꪩꪮꪒ ꪶꪎꪚ ꪁꪩꪮꪒ ꪜꪱꪀ: sổng miệng sổng mồm,
1323,ꪶꪁꪩ꪿,1,,,t.,1,vật dài hình lăng trụ,,: ,
1324,ꪶꪁꪩ꫁,1,,,t.,1,,,: ,
1325,ꪶꪁꪩ꫁ ꪹꪁꪸꪩ꫁,1,,,t.,1,tráo trưng,,ꪔꪱ ꪣꪳꪙ ꪶꪁꪩ꫁ ꪹꪁꪸꪩ꫁: mắt tráo trưng,
1326,ꪶꪁꪩ꪿ꪙ ꪹꪁꪸꪩ꪿ꪙ,1,,,t.,1,lổn nhổn,,ꪒꪮꪙ ꪠꪰꪀ ꪔ꪿ꪮꪙ ꪒ꪿ꪱꪙ ꪙ꫁ꪮꪥ ꪶꪁꪩ꪿ꪙ ꪹꪁꪸꪩ꪿ꪙ ꪤꪴ꪿: luống rau lổn nhổn hòn đá nhỏ,
1327,ꪶꪁꪩ꪿ꪙ ꪶꪁꪩ꪿ꪙ,1,,,t.,1,săn,,ꪙꪾ꫁ ꪼꪨ ꪶꪁꪩ꪿ꪙ ꪶꪁꪩ꪿ꪙ: nước chảy săn,
1328,ꪶꪁꪩꪒ,1,,,đg.,1,tọt,vật to,ꪉꪴ ꪶꪁꪩꪒ ꪹꪄ꫁ꪱ ꪭꪴ: rắt tọt vào hang,
1329,ꪶꪁꪩ꪿ꪙ ꪹꪁꪸꪩ꪿ꪙ,1,,,t.,2,óc trâu,,ꪶꪛꪒ ꪁꪫꪱ ꪹꪚ꪿ꪱ ꪨꪾ꪿ ꪹꪜꪸꪙ ꪶꪁꪩ꪿ꪙ ꪹꪁꪸꪩ꪿ꪙ: bột quấy không đều thành óc trâu,
1330,ꪶꪁꪩꪒ,2,,,đg.,1,buột miệng,,ꪶꪁꪩꪒ ꪮꪮꪀ ꪫ꪿ꪱ: buột miệng nói,
1331,ꪹꪀꪷ꪿ꪨꪀ ꪹꪮꪷ꪿ꪀ,1,,,đg.,1,te te,,ꪼꪀ꪿ ꪄꪽ ꪹꪀꪷ꪿ꪨꪀ ꪹꪮꪷ꪿ꪀ: gà gáy te te,
1332,ꪀꪨꪴ꪿ꪀ ꪹꪀꪨ,1,,,d.,1,nưa,,ꪄꪴꪒ ꪚ꫁ꪽ ꪀꪨꪴ꪿ꪀ ꪹꪀꪨ: đào củ nưa,
1333,ꪀꪨꪺꪙ ꪀꪨꪺꪙ,1,,,t.,1,lô xô,,ꪡꪮꪉ ꪙꪾ꫁ ꪀꪨꪺꪙ ꪀꪨꪺꪙ: sóng nước lô xô,
1334,ꪁꪩꪳꪒ ꪁꪩꪰ꪿ꪉ,1,,,t.,1,"lấc cấc, nhâng nháo",,ꪜꪱꪀ ꪹꪫ꫁ꪱ ꪁꪩꪳꪒ ꪁꪩꪰ꪿ꪉ: ăn nói lấc cấc,
1335,ꪁꪣ꪿ꪮꪣ,1,,,d.,1,thóp,,ꪁꪣ꪿ꪮꪣ ꪹꪒꪸ꪿ꪀ ꪙ꫁ꪮꪥ ꪝꪮꪉ ꪛꪱꪚ: thóp trẻ phập phồng,
1336,ꪁꪣꪴ꫁ꪣ ꪁꪣꪴ꫁ꪣ,1,,,t.,1,tróm trém,,ꪵꪁ꫁ꪫ ꪁꪣꪴ꫁ꪣ ꪁꪣꪴ꫁ꪣ: nhai tróm trém,
1337,ꪁꪙꪱ ꪘꪱ,1,,,d.,1,chỗ dày nhất của dạ dày trâu bò,,: ,
1338,ꪵꪀꪘ꪿ꪀ,1,,,đg.,1,cù,,ꪵꪀꪘ꪿ꪀ ꪭꪰꪀ ꪵꪭ꫁: cù nách,
1339,ꪁꪙꪱꪚ,1,,,d.,1,lưới,"bắt chim, dơi",: ,
1340,ꪀꪘꪲꪚ,1,,,d.,1,níp,,ꪬꪲ꫁ꪫ ꪀꪘꪲꪚ: xách níp,
1341,ꪁꪙ꪿ꪮꪉ,1,,,d.,1,"khuỷu chân, khoeo",,: ,
1342,ꪁꪙ꪿ꪮꪉ ꪤꪮꪀ,1,,,đg.,1,khuỵu,,ꪹꪮꪱ ꪘꪰꪀ ꪨꪱꪥ ꪁꪙ꪿ꪮꪉ ꪤꪮꪀ ꪶꪩꪉ: mang nặng quá khuỵu xuống,
1343,ꪀꪷ,1,,,d.,1,cây,,* ꪎꪲꪚ ꪀꪷ ꪊꪰ꪿ꪉ ꪹꪜꪸꪙ ꪜ꪿ꪱ: mười cây mới thành rừng; ba cây chụm lại nên hòn núi cao,
1344,ꪀꪷ ꪵꪭ꪿ꪫ,1,,,d.,1,cây phướn,,: ,
1345,ꪀꪷ ꪵꪀ,1,,,d.,1,bồ câu,,ꪎꪸ꫁ꪉ ꪹꪁꪷ꪿ ꪔꪱ ꪀꪷ ꪵꪀ: tinh như mắt bồ câu,
1346,ꪀꪷ ꪵꪀ,1,,,t.,1,láu cá,,ꪀꪲꪙ ꪤꪴ꪿ ꪀꪷ ꪵꪀ: ăn ở láu cá,
1347,ꪀꪷ ꪼꪣ꫁,1,,,d.,1,cây cối,,ꪀꪷ ꪼꪣ꫁ ꪭꪲꪣ ꪕꪱꪉ: cây cối ven đường,
1348,ꪀꪷ ꪐ꫁ꪱ,1,,,d.,1,cây cỏ,,ꪋ꫁ꪮꪙ ꪀꪷ ꪐ꫁ꪱ: rẫy cây cỏ,
1349,ꪀꪷ꪿,1,,,d.,1,giẻ,cây,: ,
1350,ꪀꪷ꪿,2,,,đg.,1,,,: ,
1351,ꪀꪷ꪿,2,,,đg.,2,nhen,,ꪀꪷ꪿ ꪼꪡ: nhen lửa,
1352,ꪀꪷ꪿,2,,,đg.,3,"nhen nhúm, nhóm, khởi công",,ꪀꪷ꪿ ꪘ꫁ꪱ ꪫꪸꪀ: nhen nhúm công việc,
1353,ꪀꪷ꪿,2,,,đg.,4,chớm,,ꪀꪷ꪿ ꪘꪱꪫ: chớm tét,
1354,ꪀꪷ꪿ ꪶꪀ꪿ꪀ,1,,,đg.,1,chớm nở,,ꪚꪮꪀ ꪁꪱꪥ ꪀꪷ꪿ ꪶꪀ꪿ꪀ ꪼꪄ: hoa đào chớm nở,
1355,ꪀꪷ꪿ ꪣꪲ,1,,,đg.,1,"hoài thai, chớm có thai",,ꪀꪷ꪿ ꪣꪲ ꪵꪎꪚ ꪶꪎ꫁ꪣ: hoài thai thèm chua,
1356,ꪀꪷ꪿ ꪎ꫁ꪱꪉ,1,,,d.,1,kẽ nách,,ꪙꪰ꪿ꪉ ꪀꪷ꪿ ꪎ꫁ꪱꪉ: ngồi kẽ nách,
1357,ꪀꪷ꫁,1,,,d.,1,đốt,tre,ꪀꪷ꫁ ꪼꪣ꫁ ꪄꪫꪱꪉ: đốt trúc,
1358,ꪀꪷ꫁,2,,,đg.,1,địch,,ꪵꪭꪉ ꪙ꫁ꪮꪥ ꪀꪷ꫁ ꪹꪚ꪿ꪱ ꪼꪒ꫁: sức nhỏ không địch nổi,
1359,ꪀꪷ꫁ ꪶꪀꪉ,1,,,d.,1,cái bật cung,bật bông,: ,
1360,ꪀꪷ꫁ ꪮꪲ꫁ꪫ,1,,,d.,1,trục ngang cái cán bông quay tay,,: ,
1361,ꪀꪷ꫁ ꪹꪨ꫁ꪱ,1,,,d.,1,,,: ,
1362,ꪀꪷ꫁ ꪼꪙ,1,,,d.,1,đốt trúc để quay guồng xa kéo sợi,,: ,
1363,ꪀꪷ꫁ ꪙꪾ꫁,1,,,d.,1,ống dẫn nước,,: ,
1364,ꪀꪷ꫁,1,,,d.,2,ống,dài,ꪀꪷ꫁ ꪼꪣ꫁: ống tre,
1365,ꪁꪷ,1,,,d.,1,cổ,,* ꪀꪾ ꪁꪷ ꪉꪴ ꪹꪬ꪿ꪱ: nắm cổ rắn hổ mang; cưỡi lưng hổ,
1366,ꪁꪷ,1,,,d.,2,cuống,bông hạt,ꪁꪷ ꪬꪺꪉ ꪹꪄ꫁ꪱ: cuống bống lúa,
1367,ꪁꪷ ꪶꪀꪙ,1,,,đg.,1,ngáy,,ꪙꪮꪙ ꪁꪷ ꪶꪀꪙ ꪶꪅ꪿ ꪶꪅ꪿: ngủ ngáy o o,
1368,ꪁꪷ ꪵꪬꪚ,1,,,t.,1,"khàn cổ, khản cổ",,ꪜꪱꪀ ꪁꪷ ꪵꪬꪚ: nói khàn cổ; nói khản cổ,
1369,ꪁꪷ ꪬꪮꪥ,1,,,d.,1,cổ họng,,: ,
1370,ꪁꪷ ꪄꪫꪱ,1,,,đg.,1,lạc giọng,,: ,
1371,ꪁꪷ ꪀꪲ꪿ꪫ,1,,,t.,1,cổ bồng,,ꪭꪱꪥ ꪁꪷ ꪀꪲ꪿ꪫ: giày cổ bồng,
1372,ꪁꪷ ꪙꪾ꫁,1,,,d.,1,mạch nước,,* ꪁꪷ ꪙꪾ꫁꫁ ꪁꪷ ꪒꪲꪙ: mạch đất mạch nước,
1373,ꪁꪷ ꪵꪀꪫꪙ,1,,,d.,1,,,: ,
1374,ꪁꪷ꪿,1,,,d.,1,"cổ, cườm",chân tay,ꪁꪷ꪿ ꪵꪄꪙ: cổ tay; cườm tay,
1376,ꪁꪷ꪿ ꪵꪁ꪿ꪉ,1,,,d.,1,cổ chân,,: ,
1377,ꪁꪷ꪿ ꪒꪴꪀ,1,,,d.,1,"ống xương, lồng xương",,: ,
1378,ꪁꪷ꪿ ꪵꪁꪀ,1,,,d.,1,khớp,,ꪹꪊꪸꪚ ꪁꪷ꪿ ꪵꪁꪀ ꪒꪴꪀ: đau khớp xương,
1379,ꪁꪷ꫁,1,,,d.,1,cọ,cây,: ,
1380,ꪁꪷ꫁,2,,,p.,1,"cũng, đều",,ꪻꪠ ꪁꪷ꫁ ꪬꪺ: ai cũng cười; ai nấy đều cười,
1381,ꪁꪷ꫁,3,,,tr.,1,thế,,ꪶꪝ꫁ ꪏꪳ ꪁꪷ꫁: bởi sao thế?,
1382,ꪁꪷ꫁,1,,,p.,1,cũng thể,,ꪹꪚ꪿ꪱ ꪵꪋꪚ ꪁꪷ꫁ ꪹꪐ꪿: không ngon cũng thể thịt thà,
1383,ꪁꪷ꫁ ꪹꪋꪸ꫁ꪙ,1,,,p.,1,"cũng thế, cũng vậy",,ꪻꪠ ꪁꪷ꫁ ꪹꪋꪸ꫁ꪙ ꪹꪢꪸꪒ: ai cũng thế cả,
1384,ꪁꪷ꫁ ꪵꪁ꫁,1,,,p.,1,một mực,vh,ꪁꪷ꫁ ꪵꪁ꫁ ꪊꪳ꪿ ꪁꪫꪱꪣ ꪒꪸꪫ: một mực giữ lời hứa,
1385,ꪁꪷ꫁ ꪵꪜꪀ,1,,,p.,1,cũng như,,ꪻꪠ ꪁꪷ꫁ ꪵꪜꪀ ꪀꪽ: ai cũng như nhau,
1386,ꪁꪷ꫁ ꪏꪲ꫁ꪙ,1,,,p.,1,,,: ,
1387,ꪀ꪿ꪮꪀ,1,,,đg.,1,"cốc, củng",,ꪀ꪿ꪮꪀ ꪻꪎ꪿ ꪬꪺ: cốc vào đầu,
1388,ꪁ꫁ꪮꪀ ꪵꪁ꫁ꪀ,1,,,t.,1,lọc cọc,,ꪙꪽ ꪁ꫁ꪮꪀ ꪵꪁ꫁ꪀ: kêu lọc cọc,
1389,ꪁ꫁ꪮꪀ ꪁ꫁ꪮꪀ,1,,,t.,1,cộc cộc,,ꪔ꪿ꪮꪥ ꪝꪱꪙ ꪙꪽ ꪁ꫁ꪮꪀ ꪁ꫁ꪮꪀ: gõ bàn kêu cọc cọc,
1390,ꪁꪷ꫁,2,,,p.,2,đã,,ꪀꪴ ꪁꪷ꫁ ꪫ꪿ꪱ ꪵꪩ꫁ꪫ: tôi đã nói rồi,
1391,ꪀ꫁ꪮꪥ,1,,,d.,1,gỏi,,ꪀ꫁ꪮꪥ ꪜꪱ: gỏi cá,
1392,ꪀ꫁ꪮꪥ ꪹꪁꪷꪣ,1,,,d.,1,gỏi sinh cầm,,: ,
1393,ꪁ꪿ꪮꪥ,1,,,t.,1,"khẽ, se sẽ, khe khẽ",,ꪁ꪿ꪮꪥ ꪑ꪿ꪱꪉ: đi khẽ,
1394,ꪁ꪿ꪮꪥ,1,,,t.,2,"từ từ, thong thả",,ꪁ꪿ꪮꪥ ꪼꪜ: đi từ từ; đi thong thả,
1395,ꪁ꪿ꪮꪥ,1,,,t.,3,"khoan, thư thả",,ꪫꪸꪀ ꪙ꫁ꪽ ꪁ꪿ꪮꪥ ꪀ꪿ꪮꪙ: việc ấy khoan đã,
1396,ꪁ꪿ꪮꪥ,1,,,t.,4,hãy,,ꪁ꪿ꪮꪥ ꪖ꫁ꪱ ꪹꪚꪷ꪿ꪉ: hãy chờ xem,
1397,ꪁꪮꪀ,1,,,d.,1,chuồng,lợn,* ꪹꪎ ꪀꪲꪙ ꪢꪴ ꪊꪰ꪿ꪉ ꪵꪜꪉ ꪁꪮꪀ: hổ vồ lợn mới sửa chuồng; mất bò mới lo làm chuồng,
1398,ꪀꪮꪣ,1,,,đg.,1,"quặp, khum",,ꪘꪺꪒ ꪀꪮꪣ: râu quặp,
1399,ꪀ꪿ꪮꪣ,1,,,đg.,1,ru,,ꪀ꪿ꪮꪣ ꪩꪴꪀ ꪙꪮꪙ: ru con ngủ,
1400,ꪀ꪿ꪮꪣ ꪀ꫁ꪮꪥ,1,,,đg.,1,lẩn,,ꪀ꪿ꪮꪣ ꪀ꫁ꪮꪥ ꪼꪜ ꪹꪭꪙ: lẩn về nhà,
1401,ꪀ꫁ꪮꪣ,1,,,t.,1,"đoản, đoạn",rất ngắn,ꪀ꫁ꪮꪣ ꪒꪱꪚ: đoản kiếm,
1402,ꪀ꫁ꪮꪣ ꪵꪀ꫁ꪣ,1,,,t.,1,vụn,cây,ꪨꪺ ꪀ꫁ꪮꪣ ꪵꪀ꫁ꪣ: củi vụn,
1403,ꪀ꫁ꪮꪣ ꪀꪲꪒ,1,,,t.,1,"cộc cỡn, cũn cỡn",,ꪹꪎ꫁ ꪹꪔꪸ꫁ꪙ ꪀ꫁ꪮꪣ ꪀꪲꪒ: Áo ngắn cũn cỡn,
1404,ꪁ꪿ꪮꪣ,1,,,đg.,1,mòn,,* ꪬꪷ ꪀꪲꪙ ꪔꪲꪙ ꪋ꫁ꪱꪉ ꪹꪚ꪿ꪱ ꪁ꪿ꪮꪣ: nước ăn chân voi chẳng mòn,
1405,ꪁꪮꪀ,1,,,d.,2,bẫy hình chuồng,,: ,
1406,ꪀ꫁ꪮꪣ,1,,,t.,2,cộc,,ꪼꪀ꪿ ꪬꪱꪉ ꪀ꫁ꪮꪣ: gà cộc đuôi,
1407,ꪁ꫁ꪮꪣ,1,,,đg.,1,"lả, ngả",,ꪜꪱꪥ ꪼꪣ꫁ ꪁ꫁ꪮꪣ ꪶꪩꪉ ꪘꪮꪉ: ngọn cây ngả xuống ao,
1408,ꪀꪮꪙ,1,,,d.,1,rui,,: ,
1409,ꪀꪮꪙ,2,,,đg.,1,cài then,,ꪀꪮꪙ ꪔꪴ: cài then cửa,
1410,ꪀꪮꪙ ꪨꪰꪉ,1,,,đg.,1,tập hậu,,ꪀꪮꪙ ꪨꪰꪉ ꪕꪾꪚ: đánh tập hậu,
1411,ꪀ꪿ꪮꪙ ,1,,,d.,1,trước,,ꪼꪜ ꪀ꪿ꪮꪙ: đi trước,
1412,ꪀ꪿ꪮꪙ ,1,,,d.,2,kia,năm,ꪵꪔ꪿ ꪜꪲ ꪀ꪿ꪮꪙ: từ năm trước,
1413,ꪀ꪿ꪮꪙ ꪹꪋꪷ,1,,,d.,1,trước khi,,ꪀ꪿ꪮꪙ ꪹꪋꪷ ꪙꪮꪙ ꪣꪮꪒ ꪵꪓꪙ: trước khi ngủ tắt đèn,
1414,ꪀ꪿ꪮꪙ ꪬ꫁ꪽ,1,,,d.,1,trước đây,,ꪀ꪿ꪮꪙ ꪬ꫁ꪽ ꪹꪤꪸꪙ ꪹꪚ꪿ꪱ ꪭꪴ꫁ ꪎꪳ: trước đây dân mù chữ,
1415,ꪀ꪿ꪮꪙ ꪨꪰꪉ,1,,,d.,1,trước sau,,ꪀ꪿ꪮꪙ ꪨꪰꪉ ꪵꪜꪀ ꪒꪸꪫ: trước sau như một,
1416,ꪀ꪿ꪮꪙ ꪙ꫁ꪽ,1,,,d.,1,trước kia,,ꪀ꪿ꪮꪙ ꪙ꫁ꪽ ꪮꪳꪒ ꪤꪱꪀ: trước kia đói kém,
1417,ꪀ꪿ꪮꪙ ꪙꪲ꫁,1,,,d.,1,,,: ,
1418,ꪀ꫁ꪮꪙ,1,,,d.,1,cục,,ꪀ꫁ꪮꪙ ꪬꪲꪙ: hòn đá,
1419,ꪀ꫁ꪮꪙ,1,,,d.,2,chiếc,vật tròn,ꪀ꫁ꪮꪙ ꪵꪀ꫁ꪫ: chiếc kẹo,
1420,ꪀ꫁ꪮꪙ,1,,,d.,1,vón,,ꪶꪛꪒ ꪹꪜꪸꪙ ꪀ꫁ꪮꪙ: bột vón hòn,
1421,ꪀ꫁ꪮꪙ,2,,,đg.,1,bòn,,ꪀ꫁ꪮꪙ ꪹꪉꪷꪙ: bòn tiền,
1422,ꪀ꫁ꪮꪙ ꪹꪋ꪿꪿ꪉ,1,,,đg.,1,bòn của,,ꪀ꫁ꪮꪙ ꪹꪋ꪿ꪉ ꪭꪱꪉ ꪶꪭꪣ: bòn tiền tập thể,
1423,ꪀ꫁ꪮꪙ ꪀꪮꪀ,1,,,đg.,1,co quắm,nằm,ꪙꪮꪙ ꪀ꫁ꪮꪙ ꪀꪮꪀ: nằm co quắp,
1424,ꪀ꫁ꪮꪙ ꪀꪮꪀ,2,,,đg.,1,"bòn rút, bóc xén",,ꪀ꫁ꪮꪙ ꪀꪮꪀ ꪹꪋ꪿ꪉ ꪄꪮꪉ: bòn rút của cải,
1425,ꪁꪮꪙ,1,,,d.,1,còn,,ꪀꪲꪙ ꪊꪸꪉ ꪕꪮꪒ ꪁꪮꪙ: ăn Tết ném còn,
1426,ꪁꪮꪙ,2,,,d.,1,nhánh,nhỏ,ꪁꪮꪙ ꪙꪾ꫁: nhánh suối,
1427,ꪁꪮꪙ,1,,,d.,1,chỗ ngủ của chim muông,,: ,
1428,ꪁꪮꪙ,4,,,đg.,1,quảy,,ꪁꪮꪙ ꪚꪴꪉ ꪹꪄ꫁ꪱ ꫜ: quảy một dậu thóc,
1429,ꪁꪮꪙ,5,,,đg.,1,long,,ꪵꪄ꫁ꪫ ꪁꪮꪙ: răng long,
1430,ꪁꪮꪙ,6,,,đg.,1,nuôi gà để chọi,,: ,
1431,ꪁꪮꪙ ꪫꪮꪉ,1,,,d.,1,còn vòng,ném còn vào vòng trên đỉnh cột cao,ꪕꪮꪒ ꪁꪮꪙ ꪫꪮꪉ: ném còn vòng,
1434,ꪁꪮꪙ ꪔꪘ꪿ꪮꪥ ꪔꪘ꪿ꪮꪥ,1,,,đg.,1,lung lay,vật thể,ꪒꪰꪀ ꪭ꫁ꪺ ꪁꪮꪙ ꪔꪘ꪿ꪮꪥ ꪔꪘ꪿ꪮꪥ: cọc rào lung lay,
1435,ꪁ꪿ꪮꪙ,1,,,d.,1,cáu,,ꪄꪲ꫁ ꪼꪁ ꪁ꪿ꪮꪙ: cáu ghét,
1436,ꪁ꪿ꪮꪙ,1,,,d.,2,rộm,,ꪬꪲꪒ ꪁ꪿ꪮꪙ ꪹꪕꪸꪉ ꪶꪔ: ghẻ rộm cả người,
1437,ꪁ꫁ꪮꪙ,1,,,d.,1,gậy,,ꪵꪚꪀ ꪁ꫁ꪮꪙ: vác gậy,
1438,ꪁ꫁ꪮꪙ ꪹꪄ꫁ꪱ,1,,,d.,1,gậy đập lúa,,: ,
1439,ꪁ꫁ꪮꪙ ꪔꪲ,1,,,d.,1,"búa, búa tay, búa đinh",,: ,
1440,ꪁ꫁ꪮꪙ ꪹꪕꪷꪣꪙ,1,,,d.,1,vồ,,ꪁ꫁ꪮꪙ ꪹꪕꪷꪣꪙ ꪕꪾꪚ ꪒꪲꪙ: vồ đập đất,
1441,ꪁ꫁ꪮꪙ ꪔꪮꪀ ꪎꪲ꪿ꪫ,1,,,d.,1,dùi đục,,: ,
1442,ꪀꪮꪉ,1,,,d.,1,trống to và dài,,: ,
1443,ꪀꪮꪉ,2,,,d.,1,"đống, đụn",,ꪀꪮꪉ ꪹꪡꪉ: đống rơm; đụn rơm,
1444,ꪀꪮꪉ,2,,,d.,2,suất,,ꪜꪽ ꪹꪥꪸꪒ ꪎꪲꪚ ꪀꪮꪉ ꪹꪐ꪿: chia làm mười suất thịt,
1449,ꪀꪮꪉ,2,,,d.,1,đánh đống,,ꪵꪮꪚ ꪀꪮꪉ ꪹꪄ꫁ꪱ: tập đánh đống lúa,
1450,ꪀꪮꪉ,3,,,đg.,1,cong,người,* ꪀꪮꪉ ꪨꪰꪉ ꪎꪴ꪿ ꪡ꫁ꪱ: cong lưng với trời (làm lụng),
1451,ꪀꪮꪉ ꪹꪛꪸ꫁ꪀ,1,,,p.,1,,,: ,
1452,ꪀꪮꪉ ꪶꪀ꫁ꪙ,1,,,đg.,1,chổng mông,,ꪀꪮꪉ ꪶꪀ꫁ꪙ ꪄꪳ꫁ꪙ ꪡ꫁ꪱ: chổng mông lên trời,
1453,ꪀꪮꪉ ꪹꪮꪸ꫁ ꪹꪐꪸ꫁,1,,,p.,1,chồng đống,,ꪝꪾꪚ ꪎꪳ ꪀꪮꪉ ꪹꪮꪸ꫁ ꪹꪐꪸ꫁: sách vở chồng đống,
1454,ꪀꪮꪉ ꪭ꫁ꪱ,1,,,d.,1,"rác, bớn",,ꪕ꫁ꪮꪙ ꪀꪮꪉ ꪭ꫁ꪱ ꪘꪰ꫁ꪉ ꪎꪺꪙ: dọn đống rác ở vườn,
1455,ꪀꪮꪉ ꪹꪅꪸ꫁ꪀ,1,,,p.,1,hàng đống,,ꪠꪰꪀ ꪘꪰ꫁ꪉ ꪩꪱꪒ ꪀꪮꪉ ꪹꪅꪸ꫁ꪀ: rau ở trợ hàng đống,
1456,ꪀꪮꪉ ꪅꪩꪳ꪿ꪙ,1,,,t.,1,"lay lắt, vạ vật",,ꪹꪋ꪿ꪉ ꪄꪮꪉ ꪼꪫ꫁ ꪀꪮꪉ ꪅꪩꪳ꪿ꪙ: đồ đạc để lay lắt,
1457,ꪀꪮꪉ ꪜꪱꪉ,1,,,d.,1,thi hài còn quàn lại,,: ,
1458,ꪀꪮꪉ ꪡꪮꪙ,1,,,d.,1,tro hài,,ꪣꪸ꫁ꪙ ꪀꪮꪉ ꪡꪮꪙ: chôn cất tro hài,
1459,ꪀꪮꪉ ꪎꪨꪰꪉ,1,,,đg.,1,"xây lưng, quay lưng",,ꪙꪰ꪿ꪉ ꪀꪮꪉ ꪎꪨꪰꪉ ꪻꪎ꪿ ꪀꪽ: ngồi quay lưng vào nhau,
1460,ꪀ꪿ꪮꪉ,1,,,t.,1,võng,,ꪄꪺ ꪀ꪿ꪮꪉ ꪶꪩꪉ: cầu võng xuống,
1461,ꪀ꪿ꪮꪉ ꪹꪨ꫁ꪱ,1,,,d.,1,đầu rượu,,ꪀ꪿ꪮꪉ ꪹꪨ꫁ꪱ ꪹꪣꪷꪥ ꪹꪮꪱ ꪵꪬ꫁ꪉ: đầu rượu mời cạn chén,
1462,ꪀ꫁ꪮꪉ,1,,,d.,1,ống,nhỏ và dài,ꪀ꫁ꪮꪉ ꪜꪲ꪿: ống sáo,
1463,ꪀ꫁ꪮꪉ,2,,,d.,1,"gầm, gậm",,ꪀ꫁ꪮꪉ ꪹꪥꪉ: gầm giường,
1464,ꪀ꫁ꪮꪉ,3,,,đg.,1,giã trợt xay,,: ,
1465,ꪀ꫁ꪮꪉ ꪶꪀꪔꪚ,1,,,d.,1,ống phốc,,: ,
1466,ꪀ꫁ꪮꪉ ꪨꪮꪒ,1,,,d.,1,ống để cuốn sợi chỉ,,: ,
1467,ꪀ꫁ꪮꪉ ꪹꪜ꪿ꪱ,1,,,d.,1,ống thổi,,: ,
1468,ꪀ꫁ꪮꪉ ꪡ꫁ꪱ,1,,,d.,1,gầm trời,,ꪼꪜ ꪕ꪿ꪺ ꪀ꫁ꪮꪉ ꪡ꫁ꪱ: đi khắp gầm trời,
1469,ꪀ꫁ꪮꪉ ꪀꪴꪒ,1,,,d.,1,tù và,,: ,
1470,ꪀ꪿ꪮꪉ,1,,,t.,2,"trĩu, ẻo",,ꪬꪱꪚ ꪘꪰꪀ ꪁꪱꪙ ꪀ꪿ꪮꪉ ꪶꪩꪉ: gánh nặng đồn trĩu xuống,
1471,ꪀ꫁ꪮꪉ,2,,,d.,2,dưới,,* ꪀ꫁ꪮꪉ ꪡ꫁ꪱ ꪹꪕꪸꪉ ꪒꪲꪙ: trên trời dưới đất,
1472,ꪀ꫁ꪮꪉ ꪎꪲꪒ,1,,,d.,1,ống thụt,,: ,
1473,ꪀ꫁ꪮꪉ ꪎ꪿ꪮꪉ,1,,,d.,1,ống nhòm,,: ,
1474,ꪁꪮꪉ,1,,,đg.,1,mong,,* ꪁꪮꪉ ꪩ꫁ꪱ ꪁꪮꪉ ꪒꪱꪥ: mong hoài mong phí,
1475,ꪁꪮꪉ ꪬꪱ,1,,,đg.,1,"mong chờ, ngong ngóng",,ꪁꪮꪉ ꪬꪱ ꪹꪯꪸꪣ ꪣꪱ: mong chờ mẹ về,
1476,ꪁꪮꪉ ꪩꪷ ꪩꪷ,1,,,đg.,1,mong mỏi,,ꪁꪮꪉ ꪩꪷ ꪩꪷ ꪋꪴ꪿ ꪣꪳ꫁: mong mỏi từng ngày,
